UF;Idade;Sexo;Cor;EstadoCivil;NotaCN;NotaCH;NotaLC;NotaMT;NotaRED;InstrPai;InstrMae;NPessoas;Renda;EscolaEM;TurnoEM
MA;22;F;Não PPI;Solteiro;503;590.7;611.7;443.4;560;Fundamental;G;2;1. Ate 1 SM;Somente Privada;A
MA;27;M;PPI;Solteiro;398.3;577.6;540.6;358.1;720;Medio;D;5;2. 1 a 3 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;392.2;601.1;490.5;324.6;560;Fundamental;D;3;1. Ate 1 SM;Somente Publica;B
MA;27;M;PPI;Outro;484.3;576.4;511;528.4;460;Fundamental;C;4;2. 1 a 3 SM;Somente Publica;C
MA;19;F;Não PPI;Solteiro;477.4;514.7;387.6;399.5;240;Não Informado;H;4;2. 1 a 3 SM;Somente Publica;B
MA;18;F;PPI;Solteiro;449.9;533;448.7;448.5;540;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;519;435.3;381.2;438;400;Não Informado;H;5;1. Ate 1 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;386.4;513.7;407.4;451.5;500;Fundamental;B;5;1. Ate 1 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;454.4;611.6;531.7;337.9;400;Fundamental;B;6;1. Ate 1 SM;Somente Publica;A
MA;24;F;PPI;Solteiro;550.2;557.6;537.9;364.3;580;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;561.5;621.9;504.3;701.4;540;Medio;D;4;2. 1 a 3 SM;Somente Privada;B
MA;23;M;PPI;Outro;506.3;662.8;604;501.7;720;Fundamental;D;2;4. 5 a 10 SM;Publica/Privada;A
MA;24;F;PPI;Solteiro;524.8;576.2;573.2;373.7;700;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;18;F;Não PPI;Solteiro;420.4;566.1;527.1;526;440;Não Informado;H;3;1. Ate 1 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;449.2;561.6;502.6;413.6;480;Fundamental;A;5;2. 1 a 3 SM;Somente Publica;A
